Arm,children,youngsters,young_adults,adults,elderly
124,adeno,NA,mRNA,mRNA,mRNA
125,adeno,NA,mRNA,mRNA,adeno
126,adeno,NA,mRNA,adeno,NA
127,adeno,NA,mRNA,adeno,mRNA
128,adeno,NA,mRNA,adeno,adeno
129,adeno,NA,adeno,NA,mRNA
130,adeno,NA,adeno,mRNA,NA
131,adeno,NA,adeno,mRNA,mRNA
132,adeno,NA,adeno,mRNA,adeno
133,adeno,NA,adeno,adeno,mRNA
134,adeno,mRNA,NA,NA,NA
135,adeno,mRNA,NA,NA,mRNA
136,adeno,mRNA,NA,NA,adeno
137,adeno,mRNA,NA,mRNA,NA
138,adeno,mRNA,NA,mRNA,mRNA
139,adeno,mRNA,NA,mRNA,adeno
140,adeno,mRNA,NA,adeno,NA
141,adeno,mRNA,NA,adeno,mRNA
142,adeno,mRNA,NA,adeno,adeno
143,adeno,mRNA,mRNA,NA,NA
144,adeno,mRNA,mRNA,NA,mRNA
145,adeno,mRNA,mRNA,NA,adeno
146,adeno,mRNA,mRNA,mRNA,NA
147,adeno,mRNA,mRNA,mRNA,mRNA
148,adeno,mRNA,mRNA,mRNA,adeno
149,adeno,mRNA,mRNA,adeno,NA
150,adeno,mRNA,mRNA,adeno,mRNA
151,adeno,mRNA,mRNA,adeno,adeno
152,adeno,mRNA,adeno,NA,NA
153,adeno,mRNA,adeno,NA,mRNA
154,adeno,mRNA,adeno,NA,adeno
155,adeno,mRNA,adeno,mRNA,NA
156,adeno,mRNA,adeno,mRNA,mRNA
157,adeno,mRNA,adeno,mRNA,adeno
158,adeno,mRNA,adeno,adeno,NA
159,adeno,mRNA,adeno,adeno,mRNA
160,adeno,mRNA,adeno,adeno,adeno
161,adeno,adeno,NA,NA,mRNA
162,adeno,adeno,NA,mRNA,NA
163,adeno,adeno,NA,mRNA,mRNA
164,adeno,adeno,NA,mRNA,adeno
165,adeno,adeno,NA,adeno,mRNA
166,adeno,adeno,mRNA,NA,NA
167,adeno,adeno,mRNA,NA,mRNA
168,adeno,adeno,mRNA,NA,adeno
169,adeno,adeno,mRNA,mRNA,NA
170,adeno,adeno,mRNA,mRNA,mRNA
171,adeno,adeno,mRNA,mRNA,adeno
172,adeno,adeno,mRNA,adeno,NA
173,adeno,adeno,mRNA,adeno,mRNA
174,adeno,adeno,mRNA,adeno,adeno
175,adeno,adeno,adeno,NA,mRNA
176,adeno,adeno,adeno,mRNA,NA
177,adeno,adeno,adeno,mRNA,mRNA
178,adeno,adeno,adeno,mRNA,adeno
179,adeno,adeno,adeno,adeno,mRNA
